date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:41	55791/55791	---M-Z	200	added ('OK')	text/html	etag:%22d9ef-6608a1e4-d6e301b9198aae87;gz%22	https://dailyhousie.com/ticket100010.html	C:/users/Jay/Subh/dailyhousie.com/ticket100010.html	(from )
21:53:42	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-7d3fc73fa63acbad;gz%22	https://dailyhousie.com/robots.txt		(from )
21:53:42	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/users/Jay/Subh/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://dailyhousie.com/ticket100010.html)
21:53:42	643/643	---M-Z	200	added ('OK')	application/x-javascript	etag:%22283-6608a1e4-a56cab5499cdc165;gz%22	https://dailyhousie.com/Ui/userUi/js/audioAnnouncementLisenner.js	C:/users/Jay/Subh/dailyhousie.com/Ui/userUi/js/audioAnnouncementLisenner.js	(from https://dailyhousie.com/ticket100010.html)
21:53:44	795/795	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jul%202024%2016:23:43%20GMT	http://starttambola.com/publish/themeStore/db/1000/img	C:/users/Jay/Subh/starttambola.com/publish/themeStore/db/1000/img.3.delayed	(from https://dailyhousie.com/ticket100010.html)
21:53:44	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202024%2017:01:27%20GMT	https://starttambola.com/publish/themeStore/db/1000/img	C:/users/Jay/Subh/starttambola.com/publish/themeStore/db/1000/img.4.delayed	(from https://dailyhousie.com/ticket100010.html)
21:53:47	1660/1660	---M--	200	added ('OK')	image/png	etag:%2267c-62f27ae2-f5fca713a5823fe5;;;%22	http://starttambola.com/publish/themeStore/db/100009/img/call.png	C:/users/Jay/Subh/starttambola.com/publish/themeStore/db/100009/img/call.png	(from https://dailyhousie.com/ticket100010.html)
21:53:47	1242/1242	---M--	200	added ('OK')	image/png	etag:%224da-62f27ae6-a227d59743d809df;;;%22	http://starttambola.com/publish/themeStore/db/100009/img/wp.png	C:/users/Jay/Subh/starttambola.com/publish/themeStore/db/100009/img/wp.png	(from https://dailyhousie.com/ticket100010.html)
21:53:47	1545/1545	---M--	200	added ('OK')	image/png	etag:%22609-62f27adc-b1b2593f28666c6f;;;%22	http://starttambola.com/publish/themeStore/db/100009/img/agent.png	C:/users/Jay/Subh/starttambola.com/publish/themeStore/db/100009/img/agent.png	(from https://dailyhousie.com/ticket100010.html)
21:53:48	999/999	---M--	200	added ('OK')	image/png	etag:%223e7-62f27ae3-dd8a86ad8bbd82e5;;;%22	http://starttambola.com/publish/themeStore/db/100009/img/login.png	C:/users/Jay/Subh/starttambola.com/publish/themeStore/db/100009/img/login.png	(from https://dailyhousie.com/ticket100010.html)
